City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Longyearbyen,SJ,78.2186,15.6401,21.04,79,20,2.3,few clouds
1,Te Anau,NZ,-45.4167,167.7167,61.86,43,26,9.15,scattered clouds
2,Kahului,US,20.8947,-156.47,82.42,76,40,18.41,light rain
3,Torbay,CA,47.6666,-52.7314,18.75,76,1,2.3,clear sky
4,Erdaojiang,CN,41.7764,126.0319,0.99,78,89,6.98,overcast clouds
5,Albany,US,42.6001,-73.9662,61.14,64,100,8.16,overcast clouds
6,Sinazongwe,ZM,-17.2614,27.4618,78.75,65,100,4.65,light rain
7,Porangatu,BR,-13.4408,-49.1486,71.15,95,100,1.63,overcast clouds
8,Jamestown,US,42.097,-79.2353,60.12,70,90,11.99,overcast clouds
9,Tolbazy,RU,54.0241,55.8825,25.56,95,100,11.52,overcast clouds
10,Ostrovnoy,RU,68.0531,39.5131,27.91,95,100,7.11,light snow
11,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,20,10.36,few clouds
12,Mataura,NZ,-46.1927,168.8643,60.48,40,38,10.98,scattered clouds
13,Mancio Lima,BR,-7.6142,-72.8958,74.3,98,100,2.35,overcast clouds
14,Kaitangata,NZ,-46.2817,169.8464,60.93,51,36,10.49,scattered clouds
15,Upington,ZA,-28.4478,21.2561,70.18,30,0,16.11,clear sky
16,Mar Del Plata,AR,-38.0023,-57.5575,69.1,86,0,3.0,clear sky
17,Bambous Virieux,MU,-20.3428,57.7575,75.45,83,40,5.75,light rain
18,Iqaluit,CA,63.7506,-68.5145,2.93,77,90,10.0,light snow
19,Shakawe,BW,-18.3667,21.85,69.06,85,100,3.91,overcast clouds
20,Yellowknife,CA,62.456,-114.3525,-19.68,76,90,6.91,light snow
21,Kapaa,US,22.0752,-159.319,82.38,70,1,1.99,clear sky
22,Georgetown,MY,5.4112,100.3354,76.95,92,40,6.91,heavy intensity rain
23,Tasiilaq,GL,65.6145,-37.6368,32.16,98,100,3.62,light snow
24,Saint-Philippe,RE,-21.3585,55.7679,77.49,77,6,6.8,clear sky
25,Punta Arenas,CL,-53.15,-70.9167,53.71,71,0,19.57,clear sky
26,Rikitea,PF,-23.1203,-134.9692,75.76,73,30,16.08,scattered clouds
27,Indramayu,ID,-6.3264,108.32,82.08,75,100,2.06,overcast clouds
28,Camacha,PT,33.0833,-16.3333,60.53,82,40,10.36,scattered clouds
29,Lavrentiya,RU,65.5833,-171.0,7.57,93,100,8.88,overcast clouds
30,Provideniya,RU,64.3833,-173.3,17.71,93,75,17.9,light snow
31,Paso De Los Toros,UY,-32.8167,-56.5167,68.65,62,0,17.69,clear sky
32,Tessalit,ML,20.1986,1.0114,69.26,25,0,11.36,clear sky
33,Constitucion,CL,-35.3333,-72.4167,55.81,87,41,3.44,scattered clouds
34,Avarua,CK,-21.2078,-159.775,84.25,70,20,13.8,few clouds
